Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,electricity,524494.5371,54100.25286
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,natural gas,446241.2168,22229.47832
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,district heating,154568.0027,11230.59637
Agriculture and Agri-Food Canada,FY 2005-06,fleet,1,gasoline,68145.89487,4540.532734
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",57820.60993,4115.908835
Agriculture and Agri-Food Canada,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41332.37698,2915.520954
Agriculture and Agri-Food Canada,FY 2005-06,fleet,1,fuels with renewable content,8089.017943,502.1073624
Agriculture and Agri-Food Canada,FY 2005-06,fleet,1,fuels with renewable content,6342.964417,89.16737652
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2134.891557,149.8891304
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,liquified petroleum gas,1769.303197,107.954173
Agriculture and Agri-Food Canada,FY 2005-06,fleet,1,liquified petroleum gas,68.28636588,4.155838165
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43348.97408,3085.821299
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Liquified petroleum gas,1041.673546,63.5457904
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,natural gas,487357.7284,24291.45813
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,district energy,121579.1206,9297.939279
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,electricity,469326.7928,46228.79886
Agriculture and Agri-Food Canada,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42780.6021,3017.765362
Agriculture and Agri-Food Canada,FY 2010-11,fleet,1,Fuels with renewable content,17497.65114,843.4562475
Agriculture and Agri-Food Canada,FY 2010-11,fleet,1,Gasoline,40747.665,2611.819489
Agriculture and Agri-Food Canada,FY 2010-11,fleet,1,Natural gas,0.029108,0.001660611
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42760.4712,3043.928388
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Liquified petroleum gas,866.96874,52.888176
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,natural gas,451914.4942,22524.85469
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,district energy,113769,8744.630027
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,electricity,459553.8852,40389.6687
Agriculture and Agri-Food Canada,FY 2011-12,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43460.4095,3045.351771
Agriculture and Agri-Food Canada,FY 2011-12,fleet,1,Fuels with renewable content,21330.05094,1187.84725
Agriculture and Agri-Food Canada,FY 2011-12,fleet,1,Gasoline,49424.662,3167.89776
Agriculture and Agri-Food Canada,FY 2011-12,fleet,1,Liquified petroleum gas,23.23458,1.41403212
Agriculture and Agri-Food Canada,FY 2011-12,fleet,1,Natural gas,0.006194,0.000353368
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",38482.8953,2739.64831
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2605.58857,158.950168
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,natural gas,472787.1224,23565.21282
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,district energy,85865,7000.946186
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,electricity,463884.786,42524.77905
Agriculture and Agri-Food Canada,FY 2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",36279.80267,2540.648482
Agriculture and Agri-Food Canada,FY 2012-13,fleet,1,Fuels with renewable content,18272.93625,1018.633777
Agriculture and Agri-Food Canada,FY 2012-13,fleet,1,Gasoline,53793.18875,3448.622317
Agriculture and Agri-Food Canada,FY 2012-13,fleet,1,Liquified petroleum gas,60.66807,3.69219498
Agriculture and Agri-Food Canada,FY 2012-13,fleet,1,Natural gas,0.010754,0.000613516
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42152.1492,3000.843948
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2785.49205,169.92492
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,natural gas,540121.8912,26921.3917
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,district energy,81635.4,6734.88815
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,electricity,455846.6052,37340.02912
Agriculture and Agri-Food Canada,FY 2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43602.27099,3062.184135
Agriculture and Agri-Food Canada,FY 2013-14,fleet,1,Fuels with renewable content,16170.98017,930.8289252
Agriculture and Agri-Food Canada,FY 2013-14,fleet,1,Gasoline,43037.78955,2758.349001
Agriculture and Agri-Food Canada,FY 2013-14,fleet,1,Liquified petroleum gas,58.840688,3.580982432
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",45312.71353,3230.888547
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Liquified petroleum gas,1396.620986,85.1988464
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,natural gas,518947.2894,25865.98225
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,district energy,50390,4182.11805
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,electricity,427400.6487,35417.75366
Agriculture and Agri-Food Canada,FY 2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",36849.08425,2582.923652
Agriculture and Agri-Food Canada,FY 2014-15,fleet,1,Fuels with renewable content,18779.75426,1085.674583
Agriculture and Agri-Food Canada,FY 2014-15,fleet,1,Gasoline,31558.3345,2022.614458
Agriculture and Agri-Food Canada,FY 2014-15,fleet,1,Liquified petroleum gas,11.614759,0.706862026
Agriculture and Agri-Food Canada,FY 2014-15,fleet,1,Natural gas,1.14522006,0.065334804
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41076.5269,2926.680692
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,Liquified petroleum gas,846.54357,51.642168
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,natural gas,458735.1044,22864.81558
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,district energy,96690,8024.78655
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,electricity,442918.71,34342.37436
Agriculture and Agri-Food Canada,FY 2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32391.89277,2271.255395
Agriculture and Agri-Food Canada,FY 2015-16,fleet,1,Fuels with renewable content,12376.28207,702.1904996
Agriculture and Agri-Food Canada,FY 2015-16,fleet,1,Gasoline,39403.357,2525.889848
Agriculture and Agri-Food Canada,FY 2015-16,fleet,1,Liquified petroleum gas,1.500883,0.091342162
Agriculture and Agri-Food Canada,FY 2015-16,fleet,1,Natural gas,1.08308284,0.061789876
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",44854.1695,3197.193788
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,Liquified petroleum gas,944.69575,57.6298
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,natural gas,509730.9019,25406.60821
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,district energy,48153,3996.458235
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,electricity,450200.7144,33576.05531
Agriculture and Agri-Food Canada,FY 2016-17,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",33326.15076,2327.074888
Agriculture and Agri-Food Canada,FY 2016-17,fleet,1,Fuels with renewable content,10630.82775,613.1531635
Agriculture and Agri-Food Canada,FY 2016-17,fleet,1,Gasoline,32818.0874,2103.507739
Agriculture and Agri-Food Canada,FY 2016-17,fleet,1,Liquified petroleum gas,3.348513,0.203786982
Agriculture and Agri-Food Canada,FY 2017-18,fleet,1,liquified petroleum gas,11.44265062,0.696387772
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,liquified petroleum gas,766.5640368,46.77198568
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1983.518696,139.2613387
Agriculture and Agri-Food Canada,FY 2017-18,fleet,1,fuels with renewable content,3417.590193,230.5400814
Agriculture and Agri-Food Canada,FY 2017-18,fleet,1,fuels with renewable content,4229.253928,269.7693095
Agriculture and Agri-Food Canada,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",24827.16467,1750.614532
Agriculture and Agri-Food Canada,FY 2017-18,fleet,1,gasoline,32030.16219,2129.898011
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42144.78536,3000.039164
Agriculture and Agri-Food Canada,FY 2017-18,facilities,2,district heating,50899.99939,4302.212662
Agriculture and Agri-Food Canada,FY 2017-18,facilities,2,electricity,436433.7028,28705.00925
Agriculture and Agri-Food Canada,FY 2017-18,facilities,1,natural gas,521860.5877,26044.14494
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,liquified petroleum gas,12.82204586,0.780336089
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,fuels with renewable content,70.59462118,0.992397189
Agriculture and Agri-Food Canada,FY 2018-19,facilities,1,liquified petroleum gas,630.6999125,38.48221433
Agriculture and Agri-Food Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2014.579929,141.442178
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,fuels with renewable content,6568.105319,442.7499823
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,fuels with renewable content,7140.942817,441.5427363
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21275.28087,1499.514237
Agriculture and Agri-Food Canada,FY 2018-19,fleet,1,gasoline,26459.01039,1755.34269
Agriculture and Agri-Food Canada,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",46719.30761,3325.672432
Agriculture and Agri-Food Canada,FY 2018-19,facilities,2,district heating,56680.9928,4790.840233
Agriculture and Agri-Food Canada,FY 2018-19,facilities,2,electricity,445414.84,26337.08181
Agriculture and Agri-Food Canada,FY 2018-19,facilities,1,natural gas,474597.4316,23677.72898
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,liquified petroleum gas,5.897230461,0.358899241
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,fuels with renewable content,20.12145519,0.282861046
Agriculture and Agri-Food Canada,FY 2019-20,facilities,1,liquified petroleum gas,977.0420046,59.61429799
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,fuels with renewable content,2691.295241,181.6715325
Agriculture and Agri-Food Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3197.896117,224.5219125
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,fuels with renewable content,8987.909427,562.3526345
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,gasoline,24928.63692,1656.282829
Agriculture and Agri-Food Canada,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",25281.97568,1781.380886
Agriculture and Agri-Food Canada,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",47437.80994,3376.817901
Agriculture and Agri-Food Canada,FY 2019-20,facilities,2,district heating,47763.75342,4037.128189
Agriculture and Agri-Food Canada,FY 2019-20,facilities,2,electricity,441511.2356,25967.93192
Agriculture and Agri-Food Canada,FY 2019-20,facilities,1,natural gas,457290.1177,22818.42119
Agriculture and Agri-Food Canada,FY 2020-21,facilities,1,natural gas,429529.421,21436.41654
Agriculture and Agri-Food Canada,FY 2020-21,facilities,2,electricity,383631.6666,20827.92527
Agriculture and Agri-Food Canada,FY 2020-21,facilities,2,district heating,56905.98462,4809.855659
Agriculture and Agri-Food Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",36139.90404,2572.587358
Agriculture and Agri-Food Canada,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",20210.20599,1425.270535
Agriculture and Agri-Food Canada,FY 2020-21,fleet,1,gasoline,12459.04303,829.7208109
Agriculture and Agri-Food Canada,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4313.6531,302.8583128
Agriculture and Agri-Food Canada,FY 2020-21,fleet,1,fuels with renewable content,2685.044042,181.2142644
Agriculture and Agri-Food Canada,FY 2020-21,fleet,1,fuels with renewable content,2239.748634,139.630714
Agriculture and Agri-Food Canada,FY 2020-21,facilities,1,liquified petroleum gas,987.5202761,60.25365908
Agriculture and Agri-Food Canada,FY 2020-21,fleet,1,liquified petroleum gas,10.17461608,0.619216839
Canada Border Services Agency,FY 2005-06,facilities,2,electricity,110717.7371,4751.77837
Canada Border Services Agency,FY 2005-06,fleet,1,gasoline,59515.80322,3939.521606
Canada Border Services Agency,FY 2005-06,facilities,1,natural gas,52131.15904,2605.532308
Canada Border Services Agency,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",11264.33692,801.8418172
Canada Border Services Agency,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5738.144897,410.2929764
Canada Border Services Agency,FY 2005-06,facilities,1,liquified petroleum gas,2338.669314,142.6941114
Canada Border Services Agency,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1427.134295,100.1980561
Canada Border Services Agency,FY 2005-06,fleet,1,fuels with renewable content,865.8678436,53.34446001
Canada Border Services Agency,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9921.7929,706.869174
Canada Border Services Agency,FY 2010-11,facilities,1,Liquified petroleum gas,2778.86083,169.520392
Canada Border Services Agency,FY 2010-11,facilities,1,natural gas,41956.2986,2091.23527
Canada Border Services Agency,FY 2010-11,facilities,2,electricity,104926.9932,5157.514731
Canada Border Services Agency,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4263.8241,303.9798669
Canada Border Services Agency,FY 2010-11,fleet,1,Fuels with renewable content,6681.681971,207.1712412
Canada Border Services Agency,FY 2010-11,fleet,1,Gasoline,54108.425,3467.577065
Canada Border Services Agency,FY 2011-12,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",10248.8697,730.159092
Canada Border Services Agency,FY 2011-12,facilities,1,Liquified petroleum gas,3184.98509,194.295416
Canada Border Services Agency,FY 2011-12,facilities,1,natural gas,50814.0625,2532.734375
Canada Border Services Agency,FY 2011-12,facilities,2,electricity,115084.9152,4314.179175
Canada Border Services Agency,FY 2011-12,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4264.8199,303.9153436
Canada Border Services Agency,FY 2011-12,fleet,1,Fuels with renewable content,7420.5016,118.3058164
Canada Border Services Agency,FY 2011-12,fleet,1,Gasoline,54031.796,3462.666241
Canada Border Services Agency,FY 2012-13,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",11055.5478,787.419186
Canada Border Services Agency,FY 2012-13,facilities,1,Liquified petroleum gas,3758.83872,229.302528
Canada Border Services Agency,FY 2012-13,facilities,1,natural gas,68107.42946,3394.690747
Canada Border Services Agency,FY 2012-13,facilities,2,electricity,122119.0668,4720.629696
Canada Border Services Agency,FY 2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3056.90684,218.2362764
Canada Border Services Agency,FY 2012-13,fleet,1,Fuels with renewable content,8461.74265,128.7561437
Canada Border Services Agency,FY 2012-13,fleet,1,Gasoline,48819.771,3128.649896
Canada Border Services Agency,FY 2013-14,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",13709.31437,979.9382005
Canada Border Services Agency,FY 2013-14,facilities,1,Liquified petroleum gas,4173.373999,254.5906541
Canada Border Services Agency,FY 2013-14,facilities,1,natural gas,70647.02611,3521.272315
Canada Border Services Agency,FY 2013-14,facilities,2,electricity,123563.6109,4242.521163
Canada Border Services Agency,FY 2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2907.5828,207.7827304
Canada Border Services Agency,FY 2013-14,fleet,1,Fuels with renewable content,10693.70809,654.7768535
Canada Border Services Agency,FY 2013-14,fleet,1,Gasoline,49525.49,3173.876402
Canada Border Services Agency,FY 2014-15,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9539.075241,683.5871718
Canada Border Services Agency,FY 2014-15,facilities,1,Liquified petroleum gas,3802.189688,231.9470912
Canada Border Services Agency,FY 2014-15,facilities,1,natural gas,62995.9126,3139.916501
Canada Border Services Agency,FY 2014-15,facilities,2,electricity,121451.274,4017.54444
Canada Border Services Agency,FY 2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3225.845459,230.5393747
Canada Border Services Agency,FY 2014-15,fleet,1,Fuels with renewable content,10676.96116,653.7547782
Canada Border Services Agency,FY 2014-15,fleet,1,Gasoline,51177.29015,3279.733194
Canada Border Services Agency,FY 2014-15,fleet,1,Liquified petroleum gas,4.730439,0.287889546
Canada Border Services Agency,FY 2015-16,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",15641.99209,1121.6972
Canada Border Services Agency,FY 2015-16,facilities,1,Liquified petroleum gas,2764.082321,168.6188504
Canada Border Services Agency,FY 2015-16,facilities,1,natural gas,62221.0902,3101.29689
Canada Border Services Agency,FY 2015-16,facilities,2,electricity,126115.6032,3901.494632
Canada Border Services Agency,FY 2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3050.665935,217.2889627
Canada Border Services Agency,FY 2015-16,fleet,1,Fuels with renewable content,10433.56622,639.7877599
Canada Border Services Agency,FY 2015-16,fleet,1,Gasoline,50682.8665,3248.030334
Canada Border Services Agency,FY 2016-17,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",20256.8078,1456.31689
Canada Border Services Agency,FY 2016-17,facilities,1,Liquified petroleum gas,2015.76433,122.968792
Canada Border Services Agency,FY 2016-17,facilities,1,natural gas,55528.88056,2767.735892
Canada Border Services Agency,FY 2016-17,facilities,2,electricity,121035.7548,3907.03357
Canada Border Services Agency,FY 2016-17,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3185.89718,227.1646911
Canada Border Services Agency,FY 2016-17,fleet,1,Fuels with renewable content,302.42472,18.4342076
Canada Border Services Agency,FY 2016-17,fleet,1,Gasoline,59451.7,3809.99444
Canada Border Services Agency,FY 2017-18,fleet,1,liquified petroleum gas,5.188550562,0.315769663
Canada Border Services Agency,FY 2017-18,fleet,1,fuels with renewable content,90.45794344,1.27162873
Canada Border Services Agency,FY 2017-18,fleet,1,fuels with renewable content,175.6699438,10.39071018
Canada Border Services Agency,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2807.848953,200.7688599
Canada Border Services Agency,FY 2017-18,facilities,1,liquified petroleum gas,3439.368148,209.8533731
Canada Border Services Agency,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5854.704787,411.0544816
Canada Border Services Agency,FY 2017-18,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",10399.66889,740.2910266
Canada Border Services Agency,FY 2017-18,fleet,1,gasoline,57933.91745,3834.819969
Canada Border Services Agency,FY 2017-18,facilities,1,natural gas,60577.7083,3024.788893
Canada Border Services Agency,FY 2017-18,facilities,2,electricity,117646.1782,3167.851272
Canada Border Services Agency,FY 2018-19,fleet,1,liquified petroleum gas,2.128571779,0.129542588
Canada Border Services Agency,FY 2018-19,fleet,1,fuels with renewable content,29.09250927,1.792334333
Canada Border Services Agency,FY 2018-19,fleet,1,fuels with renewable content,185.282519,12.68799572
Canada Border Services Agency,FY 2018-19,facilities,1,liquified petroleum gas,2188.01614,133.5020605
Canada Border Services Agency,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2737.417591,195.7327578
Canada Border Services Agency,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3154.892833,221.5026592
Canada Border Services Agency,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",12565.64399,894.4745987
Canada Border Services Agency,FY 2018-19,fleet,1,gasoline,57853.82434,3829.509904
Canada Border Services Agency,FY 2018-19,facilities,1,natural gas,86997.26308,4362.090654
Canada Border Services Agency,FY 2018-19,facilities,2,electricity,122009.7181,3312.170768
Canada Border Services Agency,FY 2019-20,fleet,1,liquified petroleum gas,1.756513774,0.106899597
Canada Border Services Agency,FY 2019-20,fleet,1,fuels with renewable content,15.34196246,0.945189044
Canada Border Services Agency,FY 2019-20,fleet,1,fuels with renewable content,162.1406221,11.10325912
Canada Border Services Agency,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2696.511138,189.3200015
Canada Border Services Agency,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2832.325593,202.5190315
Canada Border Services Agency,FY 2019-20,facilities,1,liquified petroleum gas,4078.473952,248.8484242
Canada Border Services Agency,FY 2019-20,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7192.531452,511.9938326
Canada Border Services Agency,FY 2019-20,facilities,1,natural gas,61333.39635,3059.968387
Canada Border Services Agency,FY 2019-20,fleet,1,gasoline,61573.21666,4075.714849
Canada Border Services Agency,FY 2019-20,facilities,2,electricity,121651.1726,3155.528004
Canada Border Services Agency,FY 2020-21,facilities,2,electricity,124076.8758,3207.702854
Canada Border Services Agency,FY 2020-21,facilities,1,natural gas,63911.46901,3187.890803
Canada Border Services Agency,FY 2020-21,fleet,1,gasoline,49468.26528,3274.446115
Canada Border Services Agency,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",8962.752213,638.0054455
Canada Border Services Agency,FY 2020-21,facilities,1,liquified petroleum gas,3939.226144,240.3522058
Canada Border Services Agency,FY 2020-21,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2929.919719,205.7073914
Canada Border Services Agency,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2457.174791,175.6946739
Canada Border Services Agency,FY 2020-21,fleet,1,fuels with renewable content,190.661924,13.05638293
Canada Border Services Agency,FY 2020-21,fleet,1,fuels with renewable content,42.35885549,2.609648794
Canada Border Services Agency,FY 2020-21,fleet,1,liquified petroleum gas,2.733479217,0.166356702
Canada Revenue Agency,FY 2005-06,fleet,1,gasoline,5003.914655,331.2234383
Canada Revenue Agency,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",925.9025564,66.20452332
Canada Revenue Agency,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",821.2286,58.72007487
Canada Revenue Agency,FY 2010-11,fleet,1,Fuels with renewable content,1001.07061,61.2955805
Canada Revenue Agency,FY 2010-11,fleet,1,Gasoline,3925.495,251.568151
Canada Revenue Agency,FY 2011-12,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",766.16155,54.44578815
Canada Revenue Agency,FY 2011-12,fleet,1,Fuels with renewable content,559.43492,34.3046286
Canada Revenue Agency,FY 2011-12,fleet,1,Gasoline,4425.575,283.616135
Canada Revenue Agency,FY 2012-13,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",714.32273,51.04482888
Canada Revenue Agency,FY 2012-13,fleet,1,Fuels with renewable content,430.32674,26.3876967
Canada Revenue Agency,FY 2012-13,fleet,1,Gasoline,3838.625,246.001025
Canada Revenue Agency,FY 2013-14,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",735.8579,52.615838
Canada Revenue Agency,FY 2013-14,fleet,1,Fuels with renewable content,346.52324,21.2488542
Canada Revenue Agency,FY 2013-14,fleet,1,Gasoline,3496.01,224.044298
Canada Revenue Agency,FY 2014-15,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",461.9746,33.03243835
Canada Revenue Agency,FY 2014-15,fleet,1,Fuels with renewable content,311.64744,19.1102652
Canada Revenue Agency,FY 2014-15,fleet,1,Gasoline,3259.48,208.886104
Canada Revenue Agency,FY 2015-16,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",332.62784,23.78379378
Canada Revenue Agency,FY 2015-16,fleet,1,Fuels with renewable content,261.084302,16.00972641
Canada Revenue Agency,FY 2015-16,fleet,1,Gasoline,2918.6829,187.0458784
Canada Revenue Agency,FY 2016-17,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",513.84812,36.74153589
Canada Revenue Agency,FY 2016-17,fleet,1,Fuels with renewable content,9.334328,0.12762324
Canada Revenue Agency,FY 2016-17,fleet,1,Gasoline,3120.72075,199.9936184
Canada Revenue Agency,FY 2017-18,fleet,1,fuels with renewable content,3.653493285,0.225084836
Canada Revenue Agency,FY 2017-18,fleet,1,fuels with renewable content,26.05674648,1.784345597
Canada Revenue Agency,FY 2017-18,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",304.5731178,21.77779703
Canada Revenue Agency,FY 2017-18,fleet,1,gasoline,2974.860304,196.9145268
Canada Revenue Agency,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",284.718258,20.35813268
Canada Revenue Agency,FY 2018-19,fleet,1,gasoline,2935.817363,194.3301426
Canada Revenue Agency,FY 2019-20,fleet,1,fuels with renewable content,1.130924381,0.069674092
Canada Revenue Agency,FY 2019-20,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",247.5328982,17.69927707
Canada Revenue Agency,FY 2019-20,fleet,1,gasoline,2878.410666,190.5302088
Canada Revenue Agency,FY 2020-21,fleet,1,gasoline,1597.924776,105.7712361
Canada Revenue Agency,FY 2020-21,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",74.17943043,5.304032497
Canadian Food Inspection Agency,FY 2005-06,facilities,1,natural gas,188363.7186,9406.668423
Canadian Food Inspection Agency,FY 2005-06,facilities,2,electricity,117251.5321,14235.03274
Canadian Food Inspection Agency,FY 2005-06,fleet,1,gasoline,89176.45347,5905.154352
Canadian Food Inspection Agency,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",27248.47831,1939.658394
Canadian Food Inspection Agency,FY 2005-06,facilities,2,district heating,10285.4375,917.807785
Canadian Food Inspection Agency,FY 2005-06,fleet,1,fuels with renewable content,5480.834961,337.6636848
Canadian Food Inspection Agency,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2915.786041,217.7958126
Canadian Food Inspection Agency,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",720.9590111,50.61538553
Canadian Food Inspection Agency,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",686.6791177,48.21122554
Canadian Food Inspection Agency,FY 2005-06,facilities,1,liquified petroleum gas,486.3823872,29.67665246
Canadian Food Inspection Agency,FY 2005-06,fleet,1,fuels with renewable content,28.43578267,0.399741242
Canadian Food Inspection Agency,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",298.775034,22.31712425
